Experiment Simple_Date Class_ID Participant_Private_ID Condition Phase Trial Zone_Name DiagramStudySS
1 2022-06-03 8hl 6563290 SSI 2 Botox DiagBox1 NA
1 2022-06-03 8hl 6563290 SSI 2 Suez DiagBox2 NA
1 2022-06-03 8hl 6563290 SSI 2 Suez DiagBox3 NA
1 2022-06-03 8hl 6563290 SSI 2 Suez DiagBox4 NA
1 2022-06-03 8hl 6563290 SSI 2 Suez DiagBox1 NA
1 2022-06-03 8hl 6563290 SSI 2 Geld DiagBox2 NA
1 2022-06-03 8hl 6563290 SSI 2 Geld DiagBox3 NA
1 2022-06-03 8hl 6563290 SSI 2 Geld DiagBox4 NA
1 2022-06-03 8hl 6563290 SSI 2 Geld DiagBox1 NA
1 2022-06-03 8hl 6563291 SSI 1 Suez DiagBox2 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563291 SSI 1 Suez DiagBox3 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563291 SSI 1 Suez DiagBox4 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563291 SSI 1 Suez DiagBox1 Juist
1 2022-06-03 8hl 6563291 SSI 1 Geld DiagBox2 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563291 SSI 1 Geld DiagBox3 Juist
1 2022-06-03 8hl 6563291 SSI 1 Geld DiagBox4 Juist
1 2022-06-03 8hl 6563291 SSI 1 Geld DiagBox1 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563291 SSI 1 Muziek DiagBox1 Juist
1 2022-06-03 8hl 6563291 SSI 1 Muziek DiagBox2 Juist
1 2022-06-03 8hl 6563291 SSI 1 Muziek DiagBox3 "Ingevuld maar onjuist"
1 2022-06-03 8hl 6563291 SSI 1 Muziek DiagBox4 Juist
1 2022-06-03 8hl 6563291 SSI 2 Beton DiagBox2 NA
1 2022-06-03 8hl 6563291 SSI 2 Beton DiagBox3 NA
1 2022-06-03 8hl 6563291 SSI 2 Beton DiagBox4 NA
1 2022-06-03 8hl 6563291 SSI 2 Beton DiagBox1 NA
1 2022-06-03 8hl 6563291 SSI 2 Metro DiagBox1 NA
1 2022-06-03 8hl 6563291 SSI 2 Metro DiagBox3 NA
1 2022-06-03 8hl 6563291 SSI 2 Metro DiagBox4 NA
1 2022-06-03 8hl 6563291 SSI 2 Metro DiagBox2 NA
1 2022-06-03 8hl 6563291 SSI 2 Botox DiagBox3 NA
1 2022-06-03 8hl 6563291 SSI 2 Botox DiagBox4 NA
1 2022-06-03 8hl 6563291 SSI 2 Botox DiagBox2 NA
1 2022-06-03 8hl 6563291 SSI 2 Botox DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Beton DiagBox2 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Beton DiagBox3 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Beton DiagBox4 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Beton DiagBox1 NA
1 2022-06-03 8hl 6563292 No-SSI 1 Botox DiagBox3 NA
