Experiment Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number Zone_Name Diagramming DiagramStudySS Correct_Points Element_Number Commission Word_Count
1 92J 6563283 49.25 No-SSI 2 Suez 917 6 DiagBox4 "Daarom bedachten ze het Suezkanaal." No_SSI 1 4 0 5
1 92J 6563283 49.25 No-SSI 2 Suez 917 6 DiagBox1 "Men moest ver en lang reizen om te handelen." No_SSI 1 2 0 9
1 92J 6563284 30.6166666666667 No-SSI 1 Metro 843 1 DiagBox1 "die metro wagons zaten vol met afval die ze niet meer anders hoeven af te breken" No_SSI 0 1 1 16
1 92J 6563284 30.6166666666667 No-SSI 1 Metro 843 1 DiagBox3 "daardoor komt er veel plankton (en een ander dier weet ff niet meer welke dat was)" No_SSI 1 3 0 16
1 92J 6563284 30.6166666666667 No-SSI 1 Metro 843 1 DiagBox4 "daardoor worden er veel andere vissen aangetrokken" No_SSI 1 4 0 7
1 92J 6563284 30.6166666666667 No-SSI 1 Metro 843 1 DiagBox2 "doordat ze de metro's hebben laten zinken hebben ze zelf rif gecreëerd" No_SSI 1 2 0 13
1 92J 6563284 30.6166666666667 No-SSI 1 Muziek 843 2 DiagBox1 "is goed voor je hersenen" No_SSI 1 1 0 5
1 92J 6563284 30.6166666666667 No-SSI 1 Muziek 843 2 DiagBox2 "kan helpen tegen altzeimer" No_SSI 0 3 1 4
1 92J 6563284 30.6166666666667 No-SSI 1 Muziek 843 2 DiagBox3 "kan je IQ hoger maken" No_SSI 1 4 0 5
1 92J 6563284 30.6166666666667 No-SSI 1 Muziek 843 2 DiagBox4 "kan je vroegere herrineringen helpen opbrengen" No_SSI 1 3 0 6
1 92J 6563284 30.6166666666667 No-SSI 1 Geld 854 3 DiagBox2 "hele heftige geluk of ongeluk voel je niet voor lang" No_SSI 1 2 0 10
1 92J 6563284 30.6166666666667 No-SSI 1 Geld 854 3 DiagBox3 "als je heel veel geld krijgt ben je maar voor even gelukkig" No_SSI 1 3 0 12
1 92J 6563284 30.6166666666667 No-SSI 1 Geld 854 3 DiagBox4 "je zou dus vaker geld moeten krijgen om gelukkig te kunnen blijven" No_SSI 1 4 0 12
1 92J 6563284 30.6166666666667 No-SSI 1 Geld 854 3 DiagBox1 "geld maakt niet gelukkig" No_SSI 0 NA 1 4
1 92J 6563284 30.6166666666667 No-SSI 2 Suez 423 4 DiagBox2 "er werd een verbinding gemaakt tussen die twee" No_SSI 1 4 0 8
1 92J 6563284 30.6166666666667 No-SSI 2 Suez 423 4 DiagBox3 "het suezkanaal" No_SSI 0 4 1 2
1 92J 6563284 30.6166666666667 No-SSI 2 Suez 423 4 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563284 30.6166666666667 No-SSI 2 Suez 423 4 DiagBox1 "er is geen verbinding tussen de middelandse zee en de indische oceaan" No_SSI 1 1 0 12
1 92J 6563284 30.6166666666667 No-SSI 2 Botox 387 5 DiagBox3 "minder rimpels" No_SSI 1 2 0 2
1 92J 6563284 30.6166666666667 No-SSI 2 Botox 387 5 DiagBox4 "soms ongewensde gezichtsuitdrukkingen" No_SSI 1 4 0 3
1 92J 6563284 30.6166666666667 No-SSI 2 Botox 387 5 DiagBox2 "daardoor spannen de aangespande speiren zich niet aan" No_SSI 1 1 0 8
1 92J 6563284 30.6166666666667 No-SSI 2 Botox 387 5 DiagBox1 "het stofje word op plekken waar rimpels zijn gespoten" No_SSI 0 Given 1 9
1 92J 6563284 30.6166666666667 No-SSI 2 Beton 376 6 DiagBox2 ? No_SSI 0 NA 0 0
1 92J 6563284 30.6166666666667 No-SSI 2 Beton 376 6 DiagBox3 ? No_SSI 0 NA 0 0
1 92J 6563284 30.6166666666667 No-SSI 2 Beton 376 6 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563284 30.6166666666667 No-SSI 2 Beton 376 6 DiagBox1 ? No_SSI 0 NA 0 0
1 92J 6563286 17.4833333333333 SSI 1 Muziek 429 1 DiagBox1 "je onthoudt dingen beter" "Ingevuld maar onjuist" 1 3 0 4
1 92J 6563286 17.4833333333333 SSI 1 Muziek 429 1 DiagBox2 "twaalf jarige hadden hogere iq dan andere door muziek" Juist 1 4 0 9
1 92J 6563286 17.4833333333333 SSI 1 Muziek 429 1 DiagBox3 "muziek kan herinderingen terugbrengen" Juist 0 3 0 4
1 92J 6563286 17.4833333333333 SSI 1 Muziek 429 1 DiagBox4 "oude vrouw met alzheimer herrinert elk liedje nog" "Ingevuld maar onjuist" 0 3 0 8
1 92J 6563286 17.4833333333333 SSI 1 Suez 431 2 DiagBox2 "architect uit Oostenrijk maakt plannen" "Ingevuld maar onjuist" NA NA 0 5
1 92J 6563286 17.4833333333333 SSI 1 Suez 431 2 DiagBox3 "het Suezkanaal werd uitgegraven" "Ingevuld maar onjuist" 1 3 0 4
1 92J 6563286 17.4833333333333 SSI 1 Suez 431 2 DiagBox4 "de afstand werd met 40% verkort" "Ingevuld maar onjuist" 0 Given 1 6
1 92J 6563286 17.4833333333333 SSI 1 Suez 431 2 DiagBox1 "Je moest om Afrika heen varen om via de Indische zee naar de Middelandse zee te komen" Juist 2 1&2 0 17
1 92J 6563286 17.4833333333333 SSI 1 Geld 416 3 DiagBox2 ? "Ingevuld maar onjuist" 0 NA 0 0
1 92J 6563286 17.4833333333333 SSI 1 Geld 416 3 DiagBox3 "je went snel aan luxe" Juist 1 3 0 5
1 92J 6563286 17.4833333333333 SSI 1 Geld 416 3 DiagBox4 "iemand die had gewonnen is niet gelukkig" "Ingevuld maar onjuist" 0 0 1 7
1 92J 6563286 17.4833333333333 SSI 1 Geld 416 3 DiagBox1 "Wetenschapper volgt loterij winnaars" "Ingevuld maar onjuist" 0 NA 1 4
1 92J 6563286 17.4833333333333 SSI 2 Botox 344 4 DiagBox3 ? No_SSI 0 NA 0 0
1 92J 6563286 17.4833333333333 SSI 2 Botox 344 4 DiagBox4 ? No_SSI 0 NA 0 0
1 92J 6563286 17.4833333333333 SSI 2 Botox 344 4 DiagBox2 ? No_SSI 0 NA 0 0
1 92J 6563286 17.4833333333333 SSI 2 Botox 344 4 DiagBox1 "in amerika ongeluk, gaan 28 mensen dood" No_SSI NA NA 0 7
1 92J 6563286 17.4833333333333 SSI 2 Beton 329 5 DiagBox2 "beton krimpt door centrale verwarming" No_SSI 2 3&1 0 5
1 92J 6563286 17.4833333333333 SSI 2 Beton 329 5 DiagBox3 "lift kan blijven hangen" No_SSI 1 4 0 4
1 92J 6563286 17.4833333333333 SSI 2 Beton 329 5 DiagBox4 "gebouw is 12 cm gekrompen" No_SSI 0 NA 1 5
1 92J 6563286 17.4833333333333 SSI 2 Beton 329 5 DiagBox1 "beton word veel gebruikt in gebouwen" No_SSI NA NA 0 6
1 92J 6563286 17.4833333333333 SSI 2 Metro 326 6 DiagBox1 "niet hoeven op te ruimen" No_SSI 1 1 0 5
1 92J 6563286 17.4833333333333 SSI 2 Metro 326 6 DiagBox3 "plankton en andere kleine diertjes komen naar het koraalrif" No_SSI 1 3 0 9
1 92J 6563286 17.4833333333333 SSI 2 Metro 326 6 DiagBox4 "vissen komen op plankton af" No_SSI 1 4 0 5
