Experiment Participant_Private_ID Consent Age Gender
2 7759624 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7759626 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7759629 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
2 7759631 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7759634 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
2 7759706 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7759932 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7759933 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7760186 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760187 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7760202 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7760208 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7760209 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760212 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760213 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760214 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7775310 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7775321 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7775322 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775324 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7775325 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7775329 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 12 Vrouw/meisje
2 7775331 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7991937 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7991949 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991950 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7991955 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991960 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991964 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991970 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7992401 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7992404 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7992405 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7992420 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 "Dat zeg ik liever niet."
2 7992432 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7992447 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 18 Man/jonge
2 7992455 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Man/jonge
2 7992422 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7992416 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7992411 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7992410 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7992408 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7992407 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7992398 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7992397 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Vrouw/meisje
2 7991972 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991968 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Vrouw/meisje
2 7991958 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991957 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7991953 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991952 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991951 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 17 Vrouw/meisje
2 7991945 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991943 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
2 7991940 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991936 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 "Andere. Dat is voor mij..."
2 7991933 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 18 "Dat zeg ik liever niet."
2 7991932 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991931 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7991929 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7991928 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Vrouw/meisje
2 7991927 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 16 Man/jonge
2 7775342 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775335 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7775327 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7775326 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775319 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7775317 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7775315 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775314 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775313 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775312 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Man/jonge
2 7775311 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7760243 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760217 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7760216 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7760205 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Vrouw/meisje
2 7760198 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
2 7760197 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760194 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760195 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Man/jonge
2 7760192 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760190 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 14 Man/jonge
2 7760184 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 13 Vrouw/meisje
2 7760183 "Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek" 15 Vrouw/meisje
